|Lemons Arse-Freeze-Apolooza|,,,,,,,,,,
|12|,|4|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
122,157,|John Galt Racing|,|B|,|1973|,|Porsche|,|914|,132,02:24.515,,
123,43,|Phony Express-Clydesdale Edition|,|C|,|1975|,|Lincoln|,|Towne Coupe (Sport Model)|,131,02:38.806,,
124,19,|Alien Magoos|,|B|,|1979|,|Alfa Romeo|,|Alfetta GT (Good Tabasco)|,130,02:30.686,7,
125,185,|Pendejo Engineering|,|C|,|1980|,|Maserati|,|QuattroPorte|,129,02:38.135,,
126,333,|CarError Panamericana|,|A|,|1973|,|mercedes|,|280|,128,02:25.014,,
127,999,|TBA Raciung|,|A|,,,,128,02:31.360,,
128,69,|A-Town Shiners|,|A|,|1982|,|GM|,|Camaro / Firebird|,126,02:41.089,,
129,944,|Eco Challenged|,|A|,|1985|,|Porsche|,|Prius|,122,02:22.009,,
130,200,|The Homey Depot|,|A|,|1991|,|Nissan|,|240SX|,122,02:28.192,6,
131,38,|Roast and Toast Racing|,|B|,|1988|,|Ford|,|Thunderbird|,122,02:40.050,,
132,42,|The Old and The Wreckless|,|A|,|1991|,|Ford|,|Mustang|,120,02:26.393,,
133,62,|SD Minis Team Bean|,|C|,|1962|,|Austin|,|Mini|,119,02:38.459,,
134,39,|Team Cant Am|,|A|,|1983|,|Volvo|,|242t|,100,02:24.467,,
135,65,|Unsafe At Any Speed|,|C|,|1965|,|Chevrolet|,|Corvair|,94,02:36.039,,
136,9,|Group of Huntin Foolz|,|B|,|1983|,|BMW|,|533i|,93,02:21.480,,
137,556,|Gasholes West|,|B|,|1984|,|Ford|,|Mustang|,89,02:37.564,,
138,88,|Beer Goggle Racing|,|B|,|1980|,|Chevrolet|,|Camaro|,86,02:35.164,,
139,113,|Pigs Might Fly|,|A|,|1986|,|Honda|,|CRX|,85,02:47.348,1,
140,56,|The Flyn' Hawaiins & 2 White Guys|,|B|,|1974|,|Datsun|,|260Z|,83,02:24.050,,
141,122,|Timmy's Kids III|,|A|,|1998|,|audi|,|a4|,83,02:25.145,12,
142,13,|Charity Case I|,|B|,|1976|,|Chevy|,|Camaro|,70,02:29.027,4,
143,419,|Dead-Head-Racing|,|B|,|1973|,|Alfa Romeo|,|Spider|,65,02:24.612,,
144,303,|Team Tarzan|,|A|,|1984|,|Toyota|,|Supra MKII|,65,02:26.081,,
145,701,|Star Wrek - The Wrath of Crap|,|A|,|1966|,|Starship Industries (aka honda)|,|Enterprise 1701-A (CRX)|,64,02:23.636,,
146,29,|Procrastination Racing|,|B|,|1970|,|Chevrolet|,|Nova|,63,02:26.780,,
147,199,|WINNER WINNER CHICKEN DINNER|,|C|,|1986|,|Chevrolet|,|camaro|,57,02:41.665,,
148,211,|Eyesore Racing II|,|A|,|1990|,|Honda|,|Prelude|,52,02:16.794,2,
149,37,|Pidgeon-Towed Racing|,|C|,|1987|,|dodge|,|lancer|,41,02:51.078,,
150,998,|The Lemons Lumberjacks|,|C|,|1961|,|MG|,|1961 Midget|,41,02:34.360,,
151,530,|Rot Box Racing|,|A|,|1976|,|Alfa Romeo|,|Alfetta|,37,02:31.001,35,
152,6,|6 Ol Boys and a Girl Racing|,|B|,|1990|,|Mercedes|,|300 E|,32,02:39.148,,
153,720,|The Signal Hillbillies - Powered by Global Warming|,|B|,|1988|,|Toyota|,|Supra|,31,02:41.000,,
154,91,|DNF Racing...|,|C|,|1975|,|Morris Garage Ltd. Abingdon|,,26,02:45.594,,
155,112,|Blood Drive|,|B|,|1977|,|BMW|,|530i|,25,02:45.193,,
156,240,|Import Alloy Racing|,|A|,|1990|,|Nissan|,|240SX|,25,02:36.790,1,
157,221,|Cracks and Filler Corvette C4RSE|,|B|,|1985|,|Chevrolet|,|Corvette|,24,02:42.358,,
158,902,|Rooster Juice Racing|,|A|,|1979|,|Porsche|,|924|,21,02:37.729,,
159,20,|Los Cerdos Voladores|,|A|,|1995|,|Plymouth|,|Neon|,19,02:37.334,,
160,79,|Lil Smokey and the Bandit Racing|,|B|,|1987|,|Toyota|,|MR2|,10,02:42.136,,
161,55,|Flaming A-Holes|,|A|,|1989|,|Mazda|,|RX7|,8,02:58.353,,
